Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime,CLV
165,361,11,33.89636363636364,11,6.363636363636363,33.89636363636364,196,200.22071232876715
3,40,2,661.66,2,414.0,661.66,37,134.14476712328766
74,74,1,222.16,1,373.0,222.16,0,0.0
43,225,3,890.38,3,331.0,890.38,181,1324.592712328767
11,11,1,300.93,1,261.0,300.93,0,0.0
11,28,2,171.9,2,94.0,171.9,16,15.07068493150685
44,44,1,317.76,1,192.0,317.76,0,0.0
203,203,1,488.21000000000004,1,303.0,488.21000000000004,0,0.0
16,60,3,1186.7666666666667,3,608.3333333333334,1186.7666666666667,44,429.1868493150685
24,24,2,6039.995,2,1939.5,6039.995,0,0.0
11,367,3,906.3366666666667,3,277.0,906.3366666666667,356,2651.9659178082193
61,370,6,427.2266666666667,6,188.33333333333334,427.2266666666667,308,2163.0544657534247
15,291,5,318.166,5,258.8,318.166,276,1202.9289863013698
98,318,3,107.11666666666667,3,48.0,107.11666666666667,220,193.69041095890412
374,374,1,130.0,1,1.0,130.0,0,0.0
269,269,1,500.24,1,296.0,500.24,0,0.0
264,264,1,917.6999999999999,1,330.0,917.6999999999999,0,0.0
49,277,3,597.0500000000001,3,413.6666666666667,597.05,228,1118.8553424657532
260,304,3,258.20666666666665,3,84.0,258.20666666666665,44,93.37884931506848
45,281,3,726.4733333333334,3,281.6666666666667,726.4733333333334,235,1403.1882191780824
260,309,2,381.52500000000003,2,159.5,381.52500000000003,49,102.4368493150685
57,224,3,748.7633333333333,3,340.0,748.7633333333333,166,1021.6003835616439
25,53,2,251.575,2,120.0,251.575,28,38.597808219178084
17,225,2,899.1,2,580.5,899.1,208,1024.7276712328767
198,198,1,1407.7,1,787.0,1407.7,0,0.0
58,170,2,383.99,2,204.0,383.99,112,235.65413698630138
101,298,7,993.0699999999999,7,318.2857142857143,993.0699999999999,197,3751.9000821917807
15,15,1,1938.4,1,612.0,1938.4,0,0.0
2,2,1,258.9,1,214.0,258.9,0,0.0
51,51,1,143.94,1,134.0,143.94,0,0.0
81,218,2,560.225,2,269.5,560.225,136,417.48273972602743
38,291,3,477.77666666666664,3,204.66666666666666,477.77666666666664,253,993.5136712328767
100,298,5,457.03599999999994,5,182.2,457.03600000000006,198,1239.631890410959
227,227,1,234.75000000000003,1,73.0,234.75000000000003,0,0.0
18,64,2,408.425,2,247.5,408.42499999999995,46,102.9454794520548
7,238,4,512.16,4,403.75,512.1600000000001,231,1296.5365479452055
310,310,1,931.43,1,591.0,931.43,0,0.0
21,280,3,284.55,3,340.0,284.55,259,605.7406849315068
50,50,1,205.25,1,91.0,205.25,0,0.0
28,306,5,206.26,5,98.0,206.26,277,782.657808219178
157,157,1,591.6600000000001,1,164.0,591.6600000000001,0,0.0
318,318,1,63.24,1,1.0,63.24,0,0.0
35,333,3,991.6866666666666,3,532.6666666666666,991.6866666666668,297,2420.802246575343
21,134,3,484.0733333333333,3,273.3333333333333,484.07333333333327,112,445.6127123287671
56,201,4,3086.6549999999997,4,1898.0,3086.6549999999997,144,4870.995287671232
138,138,1,320.38,1,130.0,320.38,0,0.0
45,45,1,346.9,1,138.0,346.9,0,0.0
38,175,3,456.68333333333334,3,389.3333333333333,456.68333333333334,137,514.2379452054795
38,38,1,241.35,1,33.0,241.35,0,0.0
99,99,3,130.0,3,65.0,130.0,0,0.0
11,163,7,2791.977142857143,7,2010.4285714285713,2791.977142857143,152,8138.804602739726
292,292,1,202.56,1,132.0,202.56,0,0.0
46,369,11,286.21,11,121.0909090909091,286.21,323,2786.0387123287674
49,266,3,450.8733333333333,3,227.0,450.8733333333334,216,800.4545753424659
21,49,2,251.505,2,115.5,251.505,27,37.208958904109586
51,141,2,145.78,2,84.0,145.78,90,71.89150684931506
30,357,14,316.30285714285714,14,159.0,316.30285714285714,327,3967.217753424657
23,101,2,381.54,2,227.0,381.54,78,163.06915068493151
58,184,2,789.535,2,642.5,789.535,125,540.7773972602739
84,84,1,964.21,1,651.0,964.21,0,0.0
298,298,1,762.48,1,326.0,762.48,0,0.0
7,7,1,303.5,1,79.0,303.5,0,0.0
1,182,5,747.1020000000001,5,357.4,747.1020000000001,180,1842.1693150684932
9,329,13,336.1938461538462,13,139.30769230769232,336.1938461538462,320,3831.688767123288
2,112,5,1441.078,5,1209.0,1441.078,110,2171.4873972602736
17,17,1,297.29,1,138.0,297.29,0,0.0
32,373,4,1524.01,4,725.75,1524.01,340,5678.50301369863
31,373,21,368.19,21,241.8095238095238,368.19,341,7223.585178082192
318,361,2,571.44,2,239.0,571.44,43,134.6406575342466
