Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime
165,361,11,33.89636363636364,11,6.363636363636363,33.89636363636364,196
3,40,2,661.66,2,414.0,661.66,37
74,74,1,222.16,1,373.0,222.16,0
43,225,3,890.38,3,331.0,890.38,181
11,11,1,300.93,1,261.0,300.93,0
11,28,2,171.9,2,94.0,171.9,16
44,44,1,317.76,1,192.0,317.76,0
203,203,1,488.21000000000004,1,303.0,488.21000000000004,0
16,60,3,1186.7666666666667,3,608.3333333333334,1186.7666666666667,44
24,24,2,6039.995,2,1939.5,6039.995,0
11,367,3,906.3366666666667,3,277.0,906.3366666666667,356
61,370,6,427.2266666666667,6,188.33333333333334,427.2266666666667,308
15,291,5,318.166,5,258.8,318.166,276
98,318,3,107.11666666666667,3,48.0,107.11666666666667,220
374,374,1,130.0,1,1.0,130.0,0
269,269,1,500.24,1,296.0,500.24,0
264,264,1,917.6999999999999,1,330.0,917.6999999999999,0
49,277,3,597.0500000000001,3,413.6666666666667,597.05,228
260,304,3,258.20666666666665,3,84.0,258.20666666666665,44
45,281,3,726.4733333333334,3,281.6666666666667,726.4733333333334,235
260,309,2,381.52500000000003,2,159.5,381.52500000000003,49
57,224,3,748.7633333333333,3,340.0,748.7633333333333,166
25,53,2,251.575,2,120.0,251.575,28
17,225,2,899.1,2,580.5,899.1,208
198,198,1,1407.7,1,787.0,1407.7,0
58,170,2,383.99,2,204.0,383.99,112
101,298,7,993.0699999999999,7,318.2857142857143,993.0699999999999,197
15,15,1,1938.4,1,612.0,1938.4,0
2,2,1,258.9,1,214.0,258.9,0
51,51,1,143.94,1,134.0,143.94,0
81,218,2,560.225,2,269.5,560.225,136
38,291,3,477.77666666666664,3,204.66666666666666,477.77666666666664,253
100,298,5,457.03599999999994,5,182.2,457.03600000000006,198
227,227,1,234.75000000000003,1,73.0,234.75000000000003,0
18,64,2,408.425,2,247.5,408.42499999999995,46
7,238,4,512.16,4,403.75,512.1600000000001,231
310,310,1,931.43,1,591.0,931.43,0
21,280,3,284.55,3,340.0,284.55,259
50,50,1,205.25,1,91.0,205.25,0
28,306,5,206.26,5,98.0,206.26,277
157,157,1,591.6600000000001,1,164.0,591.6600000000001,0
318,318,1,63.24,1,1.0,63.24,0
35,333,3,991.6866666666666,3,532.6666666666666,991.6866666666668,297
21,134,3,484.0733333333333,3,273.3333333333333,484.07333333333327,112
56,201,4,3086.6549999999997,4,1898.0,3086.6549999999997,144
138,138,1,320.38,1,130.0,320.38,0
45,45,1,346.9,1,138.0,346.9,0
38,175,3,456.68333333333334,3,389.3333333333333,456.68333333333334,137
38,38,1,241.35,1,33.0,241.35,0
99,99,3,130.0,3,65.0,130.0,0
11,163,7,2791.977142857143,7,2010.4285714285713,2791.977142857143,152
292,292,1,202.56,1,132.0,202.56,0
46,369,11,286.21,11,121.0909090909091,286.21,323
49,266,3,450.8733333333333,3,227.0,450.8733333333334,216
21,49,2,251.505,2,115.5,251.505,27
51,141,2,145.78,2,84.0,145.78,90
30,357,14,316.30285714285714,14,159.0,316.30285714285714,327
23,101,2,381.54,2,227.0,381.54,78
58,184,2,789.535,2,642.5,789.535,125
84,84,1,964.21,1,651.0,964.21,0
298,298,1,762.48,1,326.0,762.48,0
7,7,1,303.5,1,79.0,303.5,0
1,182,5,747.1020000000001,5,357.4,747.1020000000001,180
9,329,13,336.1938461538462,13,139.30769230769232,336.1938461538462,320
2,112,5,1441.078,5,1209.0,1441.078,110
17,17,1,297.29,1,138.0,297.29,0
32,373,4,1524.01,4,725.75,1524.01,340
31,373,21,368.19,21,241.8095238095238,368.19,341
318,361,2,571.44,2,239.0,571.44,43
98,353,2,429.6,2,165.5,429.6,255
2,2,1,173.55,1,121.0,173.55,0
368,368,1,485.31,1,182.0,485.31,0
56,56,1,301.58000000000004,1,144.0,301.58000000000004,0
46,74,2,384.3,2,364.5,384.3,28
35,110,3,163.44,3,104.66666666666667,163.44000000000003,75
99,165,3,1211.4533333333334,3,928.0,1211.4533333333334,66
31,57,4,3287.86,4,1674.25,3287.86,25
81,357,4,853.2725,4,303.25,853.2725,276
71,71,1,632.68,1,251.0,632.68,0
63,123,2,415.045,2,240.0,415.045,60
241,241,1,454.36,1,258.0,454.36,0
