CustomerID,duration,event_observed,Recency,T,Frequency,Monetary,PurchaseFrequency,AvgBasketSize,AvgPurchaseValue,CustomerLifetime
12346,196,0,165,361,11,33.89636363636364,11,6.363636363636363,33.89636363636364,196
12347,37,0,3,40,2,661.66,2,414.0,661.66,37
12348,0,0,74,74,1,222.16,1,373.0,222.16,0
12349,181,0,43,225,3,890.38,3,331.0,890.38,181
12351,0,0,11,11,1,300.93,1,261.0,300.93,0
12352,16,0,11,28,2,171.9,2,94.0,171.9,16
12353,0,0,44,44,1,317.76,1,192.0,317.76,0
12355,0,1,203,203,1,488.21000000000004,1,303.0,488.21000000000004,0
12356,44,0,16,60,3,1186.7666666666667,3,608.3333333333334,1186.7666666666667,44
12357,0,0,24,24,2,6039.995,2,1939.5,6039.995,0
12358,356,0,11,367,3,906.3366666666667,3,277.0,906.3366666666667,356
12359,308,0,61,370,6,427.2266666666667,6,188.33333333333334,427.2266666666667,308
12360,276,0,15,291,5,318.166,5,258.8,318.166,276
12361,220,0,98,318,3,107.11666666666667,3,48.0,107.11666666666667,220
12362,0,1,374,374,1,130.0,1,1.0,130.0,0
12366,0,1,269,269,1,500.24,1,296.0,500.24,0
12368,0,1,264,264,1,917.6999999999999,1,330.0,917.6999999999999,0
12369,228,0,49,277,3,597.0500000000001,3,413.6666666666667,597.05,228
12370,44,1,260,304,3,258.20666666666665,3,84.0,258.20666666666665,44
12371,235,0,45,281,3,726.4733333333334,3,281.6666666666667,726.4733333333334,235
12373,49,1,260,309,2,381.52500000000003,2,159.5,381.52500000000003,49
12374,166,0,57,224,3,748.7633333333333,3,340.0,748.7633333333333,166
12376,28,0,25,53,2,251.575,2,120.0,251.575,28
12377,208,0,17,225,2,899.1,2,580.5,899.1,208
12378,0,1,198,198,1,1407.7,1,787.0,1407.7,0
12379,112,0,58,170,2,383.99,2,204.0,383.99,112
12380,197,0,101,298,7,993.0699999999999,7,318.2857142857143,993.0699999999999,197
12385,0,0,15,15,1,1938.4,1,612.0,1938.4,0
12386,0,0,2,2,1,258.9,1,214.0,258.9,0
12387,0,0,51,51,1,143.94,1,134.0,143.94,0
12388,136,0,81,218,2,560.225,2,269.5,560.225,136
12389,253,0,38,291,3,477.77666666666664,3,204.66666666666666,477.77666666666664,253
12391,198,0,100,298,5,457.03599999999994,5,182.2,457.03600000000006,198
12392,0,1,227,227,1,234.75000000000003,1,73.0,234.75000000000003,0
12393,46,0,18,64,2,408.425,2,247.5,408.42499999999995,46
12395,231,0,7,238,4,512.16,4,403.75,512.1600000000001,231
12396,0,1,310,310,1,931.43,1,591.0,931.43,0
12399,259,0,21,280,3,284.55,3,340.0,284.55,259
12400,0,0,50,50,1,205.25,1,91.0,205.25,0
12402,277,0,28,306,5,206.26,5,98.0,206.26,277
12403,0,0,157,157,1,591.6600000000001,1,164.0,591.6600000000001,0
12404,0,1,318,318,1,63.24,1,1.0,63.24,0
12406,297,0,35,333,3,991.6866666666666,3,532.6666666666666,991.6866666666668,297
12408,112,0,21,134,3,484.0733333333333,3,273.3333333333333,484.07333333333327,112
12409,144,0,56,201,4,3086.6549999999997,4,1898.0,3086.6549999999997,144
12410,0,0,138,138,1,320.38,1,130.0,320.38,0
12411,0,0,45,45,1,346.9,1,138.0,346.9,0
12412,137,0,38,175,3,456.68333333333334,3,389.3333333333333,456.68333333333334,137
12413,0,0,38,38,1,241.35,1,33.0,241.35,0
